movieId,keyword
2086,assassination
2086,los angeles
2086,politics
2086,train station
3780,career
3780,clinic
3780,doctor
3780,heal
3780,intern
3780,japan
3780,japanese
3780,lunatic asylum
3780,nudity
3780,psychiatrist
3780,uniform
5000,abandonment
5000,cross
5000,dead animal
5000,death
5000,exodus
5000,foster parents
5000,france
5000,french countryside
5000,funeral
5000,postwar period
5000,world war ii
6037,butler
6037,cadaver
6037,charlie chan
6037,deaf-mute
6037,detective
6037,guest
6037,murder
6037,sam spade
6037,sidekick
6037,spoof
703,breaking the fourth wall
703,comedian
703,jewish
703,job interview
703,love
703,narration
703,neurosis
703,singer
703,talking to the audience
703,volkswagen beetle
966,bandit
966,cowboy
966,farmer
966,friendship
966,henry rifle
966,hired gun
966,horse
966,mexican
966,remake
966,village
966,white man's burden
6404,bed
6404,bite
6404,blood
6404,castle
6404,coffin
6404,cowardliness
6404,doctor
6404,good and bad
6404,house
6404,independent film
6404,pest
6404,ship
6404,small town
6404,transylvania
6404,vampire
6415,emergency surgery
6415,gold
6415,gold theft
6415,gulf war
6415,interracial relationship
6415,iraq
6415,kuwait
6415,mine field
6415,persian gulf
6415,rescue
6415,soldier
6415,three kings
6415,treasure map
6415,u.s. soldier
228,german expressionism
228,melodrama
228,music
228,professor
228,pub
228,traveling circus
767,apparition
767,broom
767,magic
767,school of witchcraft
767,teenage crush
767,werewolf
767,witch
767,wizardry
1624,1990s
1624,birthday
1624,california
1624,lie
1624,pregnancy and birth
1624,wish
1624,workaholic
2307,arsonist
2307,burning house
2307,jealousy
2307,teenage crush
4960,man-woman relation
4960,new york
4960,writer
5122,career woman
5122,hollywood
5122,impotence
5122,movie star
5335,gay man
5335,household
5335,independent film
5335,italian
5335,stranger
5335,visitor
5689,deserted island
5689,lost at sea
5689,lovers
5689,marooned
5689,pacific island
5689,sexual identity
5689,shipwreck
5689,stranded
5689,teenager
5689,tropical island
5723,dublin
5723,fascination
5723,ireland
5723,love of one's life
5723,love sickness
5723,lovers
5723,music
5723,music band
5723,music instrument
5723,music lover
5723,music style
5723,pianist
5723,pop
5723,rock and roll
5723,song
5723,tenderness
5723,to make music
5854,false identity
5854,fortune teller
5854,heir
5854,kidnapping
5854,spiritualist
5968,adultery
5968,infidelity
5968,red dress
285,aftercreditsstinger
285,afterlife
285,alliance
285,calypso
285,drug abuse
285,east india trading company
285,exotic island
285,fighter
285,love of one's life
285,ocean
285,pirate
285,ship
285,shipwreck
285,strong woman
285,swashbuckler
285,traitor
4789,deportation
4789,jew persecution
4789,world war ii
6116,pop
6116,pop culture
6116,pop star
32562,cinema
32562,gay
32562,hollywood
32562,lesbian
32562,lgbt
32562,lgbt history
32562,media
41769,body double
41769,canuxploitation
41769,casual sex
41769,crucifixion
41769,monk
41769,murder
41769,nudity
